"value","market","date"
"1.56","1.58","2021-11-24"
"1.58","1.59","2021-11-23"
"1.56","1.57","2021-11-22"
"1.45","1.46","2021-11-19"
"1.47","1.48","2021-11-18"
"1.48","1.49","2021-11-17"
"1.56","1.57","2021-11-16"
"1.48","1.49","2021-11-15"
"1.45","1.46","2021-11-12"
"1.47","1.48","2021-11-10"
"1.37","1.38","2021-11-09"
"1.4","1.4","2021-11-08"
"1.36","1.36","2021-11-05"
"1.39","1.48","2021-11-04"
"1.46","1.47","2021-11-03"
"1.47","1.48","2021-11-02"
"1.5","1.51","2021-11-01"
"1.5","1.51","2021-10-29"
"1.42","1.43","2021-10-28"
"1.42","1.43","2021-10-27"
"1.33","1.34","2021-10-26"
"1.34","1.34","2021-10-25"
"1.34","1.34","2021-10-22"
"1.35","1.37","2021-10-21"
"1.29","1.3","2021-10-20"
"1.31","1.31","2021-10-19"
"1.28","1.29","2021-10-18"
"1.23","1.24","2021-10-15"
"1.18","1.19","2021-10-14"
"1.27","1.27","2021-10-13"
"1.24","1.24","2021-10-12"
"1.2","1.21","2021-10-08"
"1.13","1.14","2021-10-07"
"1.09","1.09","2021-10-06"
"1.1","1.11","2021-10-05"
"1.08","1.08","2021-10-04"
"1.07","1.07","2021-10-01"
"1.11","1.11","2021-09-29"
"1.09","1.1","2021-09-28"
"1.06","1.07","2021-09-27"
"1.03","1.04","2021-09-24"
"1","1.02","2021-09-23"
"0.92","0.92","2021-09-22"
"0.85","0.86","2021-09-21"
"0.85","0.86","2021-09-20"
"0.9","0.9","2021-09-17"
"0.86","0.86","2021-09-16"
"0.83","0.84","2021-09-15"
"0.79","0.8","2021-09-14"
"0.82","0.82","2021-09-13"
"0.83","0.83","2021-09-10"
"0.79","0.79","2021-09-09"
"0.8","0.81","2021-09-08"
"0.81","0.82","2021-09-07"
"0.78","0.79","2021-09-03"
"0.77","0.78","2021-09-02"
"0.79","0.8","2021-09-01"
"0.84","0.83","2021-08-31"
"0.81","0.82","2021-08-30"
"0.83","0.84","2021-08-27"
"0.87","0.88","2021-08-26"
"0.87","0.88","2021-08-25"
"0.84","0.85","2021-08-24"
"0.82","0.84","2021-08-23"
"0.81","0.82","2021-08-20"
"0.81","0.81","2021-08-19"
"0.82","0.83","2021-08-18"
"0.81","0.81","2021-08-17"
"0.81","0.82","2021-08-16"
"0.84","0.85","2021-08-13"
"0.89","0.9","2021-08-12"
"0.89","0.9","2021-08-11"
"0.9","0.91","2021-08-10"
"0.88","0.89","2021-08-09"
"0.88","0.89","2021-08-06"
"0.83","0.79","2021-08-05"
"0.78","0.79","2021-08-04"
"0.75","0.76","2021-08-03"
"0.81","0.81","2021-07-30"
"0.81","0.82","2021-07-29"
"0.78","0.79","2021-07-28"
"0.77","0.77","2021-07-27"
"0.8","0.81","2021-07-26"
"0.79","0.8","2021-07-23"
"0.78","0.8","2021-07-22"
"0.8","0.81","2021-07-21"
"0.77","0.78","2021-07-20"
"0.78","0.79","2021-07-19"
"0.87","0.87","2021-07-16"
"0.88","0.89","2021-07-15"
"0.91","0.92","2021-07-14"
"0.95","0.97","2021-07-13"
"0.93","0.93","2021-07-12"
"0.94","0.94","2021-07-09"
"0.89","0.91","2021-07-08"
"0.93","0.94","2021-07-07"
"0.95","0.96","2021-07-06"
"0.99","","2021-07-05"
"0.96","0.97","2021-07-02"
"0.97","0.98","2021-06-30"
"0.98","0.99","2021-06-29"
"0.98","1","2021-06-28"
